General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aaron Hickey,SCO,DF,20,2002,21.3,838,743,93,11,2,1,27,82,0,0,0,0,695,2,17
Ben Mee,ENG,DF,32,1989,36.3,1761,1625,130,38,0,10,7,90,0,0,0,0,1348,6,20
Bryan Mbeumo,CMR,FW,22,1999,32.3,991,845,139,48,7,7,156,19,71,37,12,5,655,7,42
Christian Nørgaard,DEN,MF,28,1994,19.6,812,787,19,10,2,6,11,2,0,0,0,0,608,6,11
David Raya,ESP,GK,26,1995,38.0,1640,1181,455,185,0,19,0,1,0,0,0,0,1054,4,1
Ethan Pinnock,JAM,DF,29,1993,30.0,1149,1088,57,14,0,3,10,43,0,0,0,0,914,4,5
Frank Onyeka,NGA,MF,24,1998,9.4,257,255,1,0,0,1,2,1,0,0,0,0,193,1,9
Halil Dervişoğlu,TUR,MF,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Toney,ENG,FW,26,1996,32.8,787,751,29,8,12,3,34,10,1,0,0,0,468,7,31
Josh Dasilva,ENG,MF,23,1998,15.4,617,591,25,8,1,1,33,11,6,4,0,0,491,1,17
Keane Lewis-Potter,ENG,"FW,MF",21,2001,3.6,86,83,3,0,1,1,8,2,0,0,0,0,49,0,3
Kevin Schade,GER,FW,20,2001,8.1,173,171,1,0,1,0,15,1,0,0,0,0,103,1,11
Kristoffer Ajer,NOR,DF,24,1998,8.5,345,293,51,7,0,4,6,44,0,0,0,0,259,1,8
Mads Bech Sørensen,DEN,"DF,MF",23,1999,0.2,11,7,4,0,0,0,0,4,0,0,0,0,7,0,0
Mads Roerslev,DEN,DF,23,1999,12.3,303,282,21,1,2,0,20,20,0,0,0,0,194,0,21
Mathias Jensen,DEN,MF,26,1996,31.1,1566,1158,401,84,5,28,158,184,76,37,18,7,1088,7,25
Mathias Jørgensen,DEN,DF,32,1990,12.3,503,437,65,6,0,0,3,55,0,0,0,0,404,1,2
Mikkel Damsgaard,DEN,"MF,FW",22,2000,11.0,407,387,14,8,5,2,29,1,2,1,1,0,275,6,12
Pontus Jansson,SWE,DF,31,1991,8.0,321,309,11,6,1,0,0,5,0,0,0,0,257,1,3
Rico Henry,ENG,DF,25,1997,36.0,1203,1059,138,1,4,2,87,137,0,0,0,0,876,6,21
Saman Ghoddos,IRN,"MF,FW",28,1993,1.5,79,68,11,3,1,0,7,3,4,1,3,0,59,0,1
Sergi Canós,ESP,"FW,DF",25,1997,0.9,43,39,3,1,0,0,3,2,0,0,0,0,23,1,0
Shandon Baptiste,GRN,MF,24,1998,6.9,295,287,6,1,2,0,11,3,2,2,0,0,247,2,7
Vitaly Janelt,GER,"MF,DF",24,1998,24.5,1020,986,29,12,3,17,22,16,1,1,0,0,812,5,21
Yoane Wissa,COD,FW,25,1996,17.8,344,334,7,1,4,2,12,2,0,0,0,0,238,3,15
