General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Aaron Zehnter,GER,DF,17,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
André Hahn,GER,"FW,MF",31,1990,4.3,3,0.69,3,0,0,0,0,0,1,0.23,1,0,0,0,0,0
Arne Engels,BEL,MF,18,2003,16.0,47,2.94,22,17,1,2,4,1,8,0.5,5,1,1,0,0,1
Arne Maier,GER,MF,23,1999,21.8,42,1.93,25,8,0,3,3,3,5,0.23,2,0,0,2,0,1
Carlos Gruezo,ECU,MF,27,1995,10.7,12,1.12,12,0,0,0,0,0,4,0.37,4,0,0,0,0,0
Daniel Caligiuri,ITA,"DF,MF",34,1988,3.2,10,3.09,3,4,0,0,3,0,1,0.31,0,0,0,0,1,0
David Čolina,CRO,"DF,FW",22,2000,1.8,5,2.69,3,1,1,0,0,0,0,0.0,0,0,0,0,0,0
Dion Drena Beljo,CRO,FW,20,2002,12.5,25,1.99,20,0,0,3,1,1,5,0.4,3,0,0,2,0,0
Elvis Rexhbeçaj,GER,MF,24,1997,28.0,39,1.39,31,1,0,2,5,0,0,0.0,0,0,0,0,0,0
Ermedin Demirović,BIH,"FW,MF",24,1998,26.3,57,2.17,43,0,4,5,3,2,8,0.3,4,0,0,2,1,1
Florian Niederlechner,GER,"FW,MF",31,1990,10.1,15,1.48,11,0,1,3,0,0,2,0.2,2,0,0,0,0,0
Frederik Winther,DEN,DF,21,2001,1.0,1,1.0,1,0,0,0,0,0,1,1.0,1,0,0,0,0,0
Fredrik Jensen,FIN,"FW,MF",24,1997,10.3,20,1.95,17,3,0,0,0,0,1,0.1,1,0,0,0,0,0
Iago,BRA,"DF,MF",25,1997,17.8,40,2.25,27,8,4,0,1,0,6,0.34,6,0,0,0,0,0
Irvin Cardona,FRA,"MF,FW",24,1997,3.5,5,1.42,4,0,0,0,1,0,1,0.28,0,0,0,0,1,0
Jeffrey Gouweleeuw,NED,DF,31,1991,31.1,35,1.13,24,3,3,4,0,1,3,0.1,1,0,0,2,0,0
Julian Baumgartlinger,AUT,MF,34,1988,6.2,8,1.3,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Kelvin Yeboah,ITA,"FW,MF",22,2000,3.9,14,3.57,7,0,1,3,2,1,2,0.51,1,0,0,1,0,0
Lukas Petkov,BUL,"MF,FW",21,2000,1.6,3,1.86,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mads Pedersen,DEN,"DF,MF",25,1996,20.4,43,2.11,27,7,3,3,3,0,4,0.2,2,0,0,1,1,0
Maximilian Bauer,GER,DF,22,2000,20.5,15,0.73,5,2,0,4,3,1,1,0.05,0,1,0,0,0,0
Mergim Berisha,GER,FW,24,1998,18.7,34,1.82,13,13,3,3,1,1,7,0.37,2,3,2,0,0,0
Nathanael Mbuku,FRA,"MF,FW",20,2002,0.4,1,2.65,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Niklas Dorsch,GER,MF,24,1998,5.4,8,1.49,6,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Noah Joel Sarenren Bazee,NGA,"MF,FW",25,1996,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ohis Felix Uduokhai,GER,DF,24,1997,16.1,13,0.81,12,0,0,1,0,0,1,0.06,1,0,0,0,0,0
Rafał Gikiewicz,POL,GK,34,1987,23.0,7,0.3,3,4,0,0,0,0,1,0.04,0,1,0,0,0,0
Raphael Framberger,GER,"DF,FW",26,1995,2.0,1,0.51,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Reece Oxford,ENG,DF,23,1998,1.0,1,0.96,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Renato Veiga,POR,DF,19,2003,7.1,6,0.85,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Ricardo Pepi,USA,FW,19,2003,1.1,2,1.89,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Robert Gumny,POL,DF,24,1998,22.4,31,1.38,19,3,0,3,3,3,3,0.13,2,0,0,0,0,1
Ruben Vargas,SUI,"MF,FW",23,1998,12.6,31,2.47,22,1,5,1,2,0,4,0.32,3,0,0,0,1,0
Tomáš Koubek,CZE,GK,29,1992,11.0,4,0.36,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0
