name,id
Matz Sels,834b5c4c
Ola Aina,246d153b
Nikola Milenković,bee704fc
Murillo,1704b0b8
Chris Wood,4e9a0555
Morgan Gibbs-White,32f60ed8
Elliot Anderson,de31038e
Anthony Elanga,2fba6108
Callum Hudson-Odoi,15f3ec41
Neco Williams,dd323728
Ryan Yates,c1fe2a48
Nicolás Domínguez,20b3a502
Álex Moreno,16e9d0ea
James Ward-Prowse,3515d404
Jota Silva,4d77e622
Morato,0f41e2ee
Ibrahim Sangaré,bced0375
Danilo,a816dbfb
Taiwo Awoniyi,e5478b87
Ramón Sosa,2d3417a1
Willy Boly,a4ac4b8f
Harry Toffolo,a105d46a
Eric da Silva Moreira,0a4f579a
Zach Abbott,c103921a
Wayne Hennessey,76eca7e2
Carlos Miguel,84454067
Andrew Omobamidele,c393a6c4
Squad Total,
Opponent Total,
